,Title,Genres,Ratings,Director
8742,The Guilty,"Crime, Drama, Thriller",6.3,Antoine Fuqua
8743,Shershaah,"Action, Biography, Drama",8.4,Vishnuvardhan
8744,House of Gucci,"Biography, Crime, Drama",6.6,Ridley Scott
8745,Dhindora,"Comedy, Drama",8.8,
8746,The French Dispatch,"Comedy, Drama, Romance",7.2,Wes Anderson
8747,Old,"Drama, Horror, Mystery",5.8,M. Night Shyamalan
8748,Spider-Man: No Way Home,"Action, Adventure, Fantasy",8.3,Jon Watts
8749,Dune,"Action, Adventure, Drama",8.0,Denis Villeneuve
8750,Don't Look Up,"Comedy, Drama, Sci-Fi",7.2,Adam McKay
8751,Squid Game,"Action, Drama, Mystery",8.0,
8752,Zack Snyder's Justice League,"Action, Adventure, Fantasy",8.0,Zack Snyder
8753,No Time to Die,"Action, Adventure, Thriller",7.3,Cary Joji Fukunaga
8754,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",7.4,Destin Daniel Cretton
8755,Black Widow,"Action, Adventure, Sci-Fi",6.7,Cate Shortland
8756,Free Guy,"Action, Adventure, Comedy",7.1,Shawn Levy
8757,The Suicide Squad,"Action, Adventure, Comedy",7.2,James Gunn
8758,Eternals,"Action, Adventure, Fantasy",6.3,Chloé Zhao
8759,WandaVision,"Action, Comedy, Drama",7.9,
8760,Loki,"Action, Adventure, Fantasy",8.2,
8761,Aspirants,Drama,9.2,
8762,Red Notice,"Action, Comedy, Thriller",6.3,Rawson Marshall Thurber
8763,The Matrix Resurrections,"Action, Sci-Fi",5.7,Lana Wachowski
8764,Nobody,"Action, Crime, Drama",7.4,Ilya Naishuller
8765,Cruella,"Adventure, Comedy, Crime",7.3,Craig Gillespie
8766,Venom: Let There Be Carnage,"Action, Adventure, Sci-Fi",5.9,Andy Serkis
8767,Encanto,"Animation, Comedy, Family",7.2,Jared Bush
8768,The Falcon and the Winter Soldier,"Action, Adventure, Drama",7.2,
8769,Godzilla vs. Kong,"Action, Sci-Fi, Thriller",6.3,Adam Wingard
